Name,Lat,Lon
481_1,-59,-58
481_1,-59,-47
481_1,-62.667,-47
481_1,-62.667,-58
481_2,-62.667,-58
481_2,-62.667,-47
481_2,-64,-47
481_2,-64,-58
481_3,-64,-58
481_3,-64,-47
481_3,-68,-47
481_3,-68,-58
482_N,-60.167,-34
482_N,-60.5,-35
482_N,-61,-35.333
482_N,-60.833,-35.5
482_N,-61.667,-37.667
482_N,-58.83317,-43
482_N,-54,-43
482_N,-54,-31
482_N,-60.1625,-31
482_S,-61.667,-37.667
482_S,-60.833,-35.5
482_S,-61,-35.333
482_S,-60.5,-35
482_S,-60.167,-34
482_S,-60.1625,-31
482_S,-66,-31
482_S,-66,-43
482_S,-58.83317,-43
883_11,-68.22048,-103
883_11,-68.22048,-95
883_11,-72.6597,-95
883_11,-72.6597,-103
883_12,-68.22048,-95
883_12,-70,-90
883_12,-71,-90
883_12,-72.6597,-85
883_12,-72.6597,-95
883_3,-68.22048,-95
883_3,-65,-95
883_3,-65,-85
883_3,-72.6597,-85
883_3,-71,-90
883_3,-70,-90
883_4,-65,-85
883_4,-65,-73
883_4,-72.6597,-73
883_4,-72.6597,-85
882_1,-72.07358,-111
882_1,-73.8,-105
882_1,-75,-105
882_1,-78,-105
882_1,-78,-111
883_2,-72.07358,-111
883_2,-70,-111
883_2,-70,-99
883_2,-78,-99
883_2,-78,-105
883_2,-75,-105
883_2,-73.8,-105
883_9,-61.5,-79
883_9,-61.5,-75
883_9,-67.5,-75
883_9,-67.5,-79
883_10,-61.5,-75
883_10,-61.5,-71
883_10,-67.5,-71
883_10,-67.5,-75
